fra;week;P_f;P_h;P;T_f;T_h;T;cl_age90;pop
FR;2020-S21;64;56;125;5325;6252;11812;09;7763205.6862729
FR;2020-S21;146;100;253;6397;6310;12885;19;8336486.16053724
FR;2020-S21;306;247;556;17330;12294;29826;29;7476787.18780411
FR;2020-S21;280;228;520;19939;13668;33821;39;8295371.93193955
FR;2020-S21;315;256;574;19192;13574;32999;49;8592886.15993015
FR;2020-S21;302;256;560;19530;14643;34383;59;8792674.76801071
FR;2020-S21;189;220;412;14104;13481;27805;69;8004082.76030424
FR;2020-S21;205;231;437;11774;12069;24004;79;5695639.13079729
FR;2020-S21;447;225;672;13622;8909;22662;89;3245280.60813097
FR;2020-S21;447;107;556;9787;3147;13014;90;912580.606272853
FR;2020-S21;2701;1929;4671;137029;104396;243323;0;67114995
FR;2020-S22;60;59;137;6184;7409;13925;09;7763205.6862729
FR;2020-S22;109;171;285;7988;8686;16910;19;8336486.16053724
FR;2020-S22;282;300;590;19009;14686;34013;29;7476787.18780411
FR;2020-S22;269;241;515;21203;15338;36850;39;8295371.93193955
FR;2020-S22;285;259;551;20555;15065;35896;49;8592886.15993015
FR;2020-S22;271;180;456;21276;16224;37769;59;8792674.76801071
FR;2020-S22;174;177;354;15899;15564;31694;69;8004082.76030424
FR;2020-S22;141;141;288;13405;14128;27760;79;5695639.13079729
FR;2020-S22;287;152;442;15215;9929;25323;89;3245280.60813097
FR;2020-S22;317;59;376;9950;3314;13321;90;912580.606272853
FR;2020-S22;2196;1740;4028;150745;120411;273741;0;67114995
FR;2020-S23;47;59;116;4720;5791;10726;09;7763205.6862729
FR;2020-S23;96;95;197;6759;6896;13881;19;8336486.16053724
FR;2020-S23;233;205;443;14232;11803;26315;29;7476787.18780411
FR;2020-S23;259;202;470;15657;11961;27897;39;8295371.93193955
FR;2020-S23;236;200;443;14970;11831;27070;49;8592886.15993015
FR;2020-S23;212;180;395;15799;13263;29386;59;8792674.76801071
FR;2020-S23;135;155;293;12983;13610;26875;69;8004082.76030424
FR;2020-S23;118;117;237;11596;12479;24335;79;5695639.13079729
FR;2020-S23;216;122;338;12277;8464;20926;89;3245280.60813097
FR;2020-S23;210;55;266;7766;2746;10600;90;912580.606272853
FR;2020-S23;1762;1397;3231;116801;98881;218202;0;67114995
FR;2020-S24;75;98;201;4687;5397;11372;09;7763205.6862729
FR;2020-S24;118;112;270;6603;6623;15247;19;8336486.16053724
FR;2020-S24;237;218;510;13969;11127;28384;29;7476787.18780411
FR;2020-S24;277;221;537;15466;11678;30640;39;8295371.93193955
FR;2020-S24;224;201;467;14606;11829;29970;49;8592886.15993015
FR;2020-S24;181;188;409;15112;13272;32108;59;8792674.76801071
FR;2020-S24;118;141;283;12927;13975;30116;69;8004082.76030424
FR;2020-S24;106;111;229;11853;12824;27184;79;5695639.13079729
FR;2020-S24;131;74;230;11884;8368;21812;89;3245280.60813097
FR;2020-S24;118;32;162;6978;2537;10107;90;912580.606272853
FR;2020-S24;1585;1396;3299;114119;97665;237064;0;67114995
FR;2020-S25;100;91;231;4672;5387;11827;09;7763205.6862729
FR;2020-S25;157;142;340;6815;6742;16171;19;8336486.16053724
FR;2020-S25;258;222;552;12812;10470;27278;29;7476787.18780411
FR;2020-S25;307;285;658;14421;11236;29960;39;8295371.93193955
FR;2020-S25;236;228;532;13680;11039;29123;49;8592886.15993015
FR;2020-S25;201;182;426;14025;12528;31231;59;8792674.76801071
FR;2020-S25;134;131;292;13262;13457;31025;69;8004082.76030424
FR;2020-S25;95;103;223;12023;12598;28378;79;5695639.13079729
FR;2020-S25;102;78;200;11524;8438;22333;89;3245280.60813097
FR;2020-S25;72;22;101;6357;2499;9850;90;912580.606272853
FR;2020-S25;1663;1484;3565;109618;94429;237297;0;67114995
FR;2020-S26;99;104;212;8154;9156;17619;09;7763205.6862729
FR;2020-S26;202;161;373;10351;10477;21005;19;8336486.16053724
FR;2020-S26;320;319;651;17405;14018;31490;29;7476787.18780411
FR;2020-S26;346;299;652;19191;14897;34149;39;8295371.93193955
FR;2020-S26;260;274;538;17540;14587;32190;49;8592886.15993015
FR;2020-S26;210;224;438;17805;15534;33393;59;8792674.76801071
FR;2020-S26;137;132;272;16002;16384;32420;69;8004082.76030424
FR;2020-S26;82;112;194;13975;15111;29112;79;5695639.13079729
FR;2020-S26;95;63;158;13058;9620;22698;89;3245280.60813097
FR;2020-S26;66;21;87;7410;2732;10145;90;912580.606272853
FR;2020-S26;1819;1711;3579;140923;122549;264328;0;67114995
FR;2020-S27;118;115;251;15624;17571;33660;09;7763205.6862729
FR;2020-S27;189;191;390;15260;15098;30619;19;8336486.16053724
FR;2020-S27;343;312;669;22131;17066;39298;29;7476787.18780411
FR;2020-S27;357;323;690;25805;19479;45358;39;8295371.93193955
FR;2020-S27;279;283;569;22107;18763;40929;49;8592886.15993015
FR;2020-S27;221;233;460;21016;18199;39259;59;8792674.76801071
FR;2020-S27;162;169;334;18413;18388;36852;69;8004082.76030424
FR;2020-S27;84;93;178;15552;16145;31714;79;5695639.13079729
